task,metric,cma_2gpu_freezebert,xgboost_baseline,delta_vs_xgboost,logistic_baseline,delta_vs_logistic
task1_discharge,auc,0.8936257513207025,0.8938049084772943,-0.00017915715659178044,0.8651714113318989,0.028454339988803645
task1_discharge,pr_auc,0.6911884696283381,0.6925366333237087,-0.0013481636953706078,0.6198491199381232,0.07133934969021494
task1_discharge,recall,0.6366053169734152,0.8599182004089979,-0.22331288343558275,0.48072597137014317,0.155879345603272
task1_discharge,precision,0.6660604439689757,0.5413408001029899,0.12471964386598577,0.6573226144704649,0.008737829498510763
task2_no_return72_masked,auc,0.6444345396287515,0.6356235593116123,0.008810980317139228,0.5379397284981314,0.10649481113062009
task2_no_return72_masked,pr_auc,0.9688483807777719,0.9673571806769261,0.001491200100845802,0.9566596216630722,0.012188759114699743
task2_no_return72_masked,recall,0.9997846567967699,0.8423687752355317,0.1574158815612382,0.9939703903095558,0.005814266487214059
task2_no_return72_masked,precision,0.9498261047463176,0.9578818487909397,-0.00805574404462217,0.9495474182267023,0.0002786865196152677
joint_both_positive,auc,0.8914296381029317,0.882093385842638,0.009336252260293776,0.8628723425524197,0.028557295550512007
joint_both_positive,pr_auc,0.6675593283707412,0.6303367564223706,0.03722257194837053,0.5949408157837333,0.07261851258700791
joint_both_positive,recall,0.6409152086137281,0.7630686406460296,-0.12215343203230156,0.48118438761776583,0.15973082099596225
joint_both_positive,precision,0.6368012837657128,0.5364469003103475,0.10035438345536529,0.6289936664320901,0.007807617333622674
