task,metric,cma_2gpu_unfreezebert,xgboost_baseline,delta_vs_xgboost,logistic_baseline,delta_vs_logistic
task1_discharge,auc,0.8497027795885358,0.8938049084772943,-0.04410212888875853,0.8651714121309978,-0.015468632542462002
task1_discharge,pr_auc,0.6012708051074453,0.6925366333237087,-0.09126582821626339,0.6198491208924517,-0.01857831578500635
task1_discharge,recall,0.4780163599182004,0.8599182004089979,-0.3819018404907975,0.48072597137014317,-0.0027096114519427617
task1_discharge,precision,0.6127129750982963,0.5413408001029899,0.07137217499530635,0.6573226144704649,-0.044609639372168663
task2_no_return72_masked,auc,0.6524625506418621,0.6356235593116123,0.016838991330249797,0.5379397284981314,0.11452282214373066
task2_no_return72_masked,pr_auc,0.9701866838237979,0.9673571806769261,0.0028295031468718035,0.9566596216630721,0.013527062160725856
task2_no_return72_masked,recall,0.9993001345895021,0.8423687752355317,0.1569313593539704,0.9939703903095558,0.005329744279946258
task2_no_return72_masked,precision,0.9499002098152602,0.9578818487909397,-0.007981638975679495,0.9495474182267023,0.00035279158855794357
joint_both_positive,auc,0.8498049700472422,0.882093385842638,-0.032288415795395764,0.8628723425524197,-0.013067372505177532
joint_both_positive,pr_auc,0.5848824584724731,0.6303367564223706,-0.045454297949897526,0.5949408157837333,-0.010058357311260147
joint_both_positive,recall,0.4868909825033647,0.7630686406460296,-0.27617765814266493,0.48118438761776583,0.005706594885598881
joint_both_positive,precision,0.5926605504587156,0.5364469003103475,0.0562136501483681,0.6289936664320901,-0.03633311597337452
