"task","metric","cma_surv","xgboost","logistic","delta_vs_xgboost","delta_vs_logistic"
"task1_discharge","auc","0.892794340539223","0.893804908477294","0.865171412130998","-0.00101056793807142","0.0276229284082251"
"task1_discharge","pr_auc","0.690975686557367","0.692536633323709","0.619849120892452","-0.00156094676634178","0.0711265656649153"
"task1_discharge","recall","0.620501022494887","0.859918200408998","0.480725971370143","-0.23941717791411","0.139775051124744"
"task1_discharge","precision","0.674952730508286","0.54134080010299","0.657322614470465","0.133611930405296","0.0176301160378212"
"task2_no_return72_masked","auc","0.643824364115843","0.635623559311612","0.537939728498131","0.00820080480423035","0.105884635617711"
"task2_no_return72_masked","pr_auc","0.969712685943567","0.967357180676926","0.956659621663072","0.00235550526664052","0.0130530642804946"
"task2_no_return72_masked","recall","1","0.842368775235532","0.993970390309556","0.157631224764468","0.00602960969044419"
"task2_no_return72_masked","precision","0.949642126789366","0.95788184879094","0.949547418226702","-0.00823972200157363","9.47085626638033E-05"
"joint_both_positive","auc","0.890302014964145","0.882093385842638","0.86287234255242","0.00820862912150699","0.0274296724117252"
"joint_both_positive","pr_auc","0.667280430906133","0.630336756422371","0.594940815783733","0.0369436744837627","0.0723396151224001"
"joint_both_positive","recall","0.624872139973082","0.76306864064603","0.481184387617766","-0.138196500672948","0.143687752355316"
"joint_both_positive","precision","0.645478812145479","0.536446900310347","0.62899366643209","0.109031911835131","0.0164851457133888"
