Feature,Importance
has_text,0.32501640915870667
gcs_mean,0.12937895953655243
gcs_max,0.1124487891793251
tfidf_the,0.028794707730412483
map_is_measured,0.026022719219326973
gcs_verbal,0.01993980072438717
gcs_eyes,0.013729168102145195
ventilation_flag_mean,0.010948162525892258
map_mean,0.010331854224205017
sofa_cardio_min,0.009784439578652382
sofa_cardio_mean,0.009076952002942562
sofa2_cns_24h_max,0.008651133626699448
sofa_cardio_max,0.00822494551539421
vasopressor_dose_max,0.007982308976352215
vasopressor_dose_is_measured,0.006930680479854345
hr_is_measured,0.006494716741144657
gcs_motor,0.00623208237811923
sofa_resp_is_measured,0.006207407917827368
gcs_is_measured,0.005812601186335087
bun_max,0.0057876333594322205
gcs_unable,0.0056184022687375546
map_max,0.005227780435234308
sofa_renal_max,0.005077910143882036
sofa_cns_mean,0.00469594169408083
ventilation_flag_max,0.004571401979774237
fluid_input_min,0.004299651365727186
vasopressor_dose_mean,0.0040901717729866505
gcs_min,0.00398093368858099
tfidf_cm above,0.003511077491566539
sofa_cardio_is_measured,0.0034552221186459064
temp_is_measured,0.003406088799238205
rr_mean,0.00339396670460701
bun_min,0.003387174569070339
tfidf_dose,0.0033314842730760574
fluid_input_is_measured,0.0032506531570106745
bun_mean,0.0032442696392536163
sofa_cns_max,0.0031468761153519154
urine_output_min,0.0031457298900932074
hr_max,0.003084684954956174
sofa2_cardiovascular_24h_max,0.002902259584516287
tfidf_acquisition,0.0028206268325448036
lactate_is_measured,0.0028167536947876215
tfidf_picc,0.002774408319965005
chloride_max,0.0027393011841923
thrombin_max,0.002652233000844717
wbc_is_measured,0.002613907912746072
tfidf_tube,0.0024460572749376297
hr_mean,0.002438917523249984
fluid_input_max,0.00243019568733871
tfidf_bilateral,0.002231704071164131
temp_mean,0.002217342611402273
calcium_max,0.00216633640229702
tfidf_images,0.0020737783052027225
map_min,0.0019841755274683237
ld_ldh_max,0.001954347360879183
tfidf_was performed,0.0019171801395714283
tfidf_tube is,0.0019020534818992019
tfidf_history,0.0018890353385359049
resp_rate_mean,0.0018812952330335975
sodium_max,0.0018809485482051969
sofa_renal_mean,0.0018695711623877287
sofa_cns_min,0.0018098440486937761
tfidf_severe,0.0017931873444467783
tfidf_head,0.0017650782829150558
tfidf_new,0.0017329625552520156
tfidf_et,0.0016915580490604043
sofa_renal_min,0.0016872462583705783
pt_max,0.0016843265620991588
creatinine_max,0.0016649202443659306
tfidf_atelectasis,0.0016462883213534951
lactate_min,0.0016353731043636799
bilirubin_is_measured,0.0016344892792403698
po2_max,0.0016308248741552234
chloride_min,0.0016301263822242618
tfidf_line,0.0016300833085551858
rr_is_measured,0.0016149489674717188
tfidf____,0.0016148369759321213
sofa2_renal_24h_max,0.0016047871904447675
creatinine_is_measured,0.0015826375456526875
platelets_is_measured,0.0015747450524941087
po2_min,0.0015664460370317101
tfidf_with,0.0015401815762743354
hematocrit_min,0.0015110077802091837
tfidf_above,0.0015030131908133626
pt_min,0.0015000746352598071
age,0.0014842053642496467
platelets_mean,0.0014805927639827132
urine_output_mean,0.0014671898679807782
tfidf_picc line,0.0014434104086831212
tfidf_fracture,0.001423320034518838
ld_ldh_min,0.00142268359195441
tfidf_of,0.0014108446193858981
sofa2_respiration_24h_max,0.0014082633424550295
tfidf_pleural effusions,0.001407541218213737
sbp_mean,0.0013960369396954775
tfidf_unchanged,0.0013908027904108167
tfidf_into,0.0013893014984205365
aniongap_min,0.001377647276967764
mbp_mean,0.0013716715620830655
tfidf_ct head,0.0013665050501003861
tfidf_effusion,0.001354401232674718
tfidf_is,0.0013425539946183562
bicarbonate_max,0.001342535950243473
tfidf_no,0.0013381268363445997
tfidf_be,0.0013318032724782825
mbp_min,0.0013308505294844508
tfidf_carina,0.0013276697136461735
tfidf_brain,0.0013253323268145323
heart_rate_min,0.0013135948684066534
resp_rate_max,0.0013088008854538202
tfidf_impression,0.001294753048568964
vasopressor_dose_min,0.0012881269212812185
tfidf_post,0.0012775898212566972
sofa_liver_mean,0.001270769163966179
tfidf_above the,0.0012696865014731884
glucose_max,0.00125541549641639
tfidf_change,0.0012550377286970615
aniongap_max,0.0012547348160296679
tfidf_cm,0.0012538931332528591
tfidf_to ___,0.001213881652802229
tfidf_pneumothorax,0.0011945037404075265
tfidf_through the,0.0011860410450026393
tfidf_with the,0.0011714703869074583
tfidf_since,0.0011475540231913328
tfidf_chest radiograph,0.001146514667198062
tfidf_performed,0.0011431484017521143
tfidf_which,0.0011381772346794605
tfidf_status post,0.0011313542490825057
tfidf_through,0.0011311115231364965
tfidf_veins,0.0011258383747190237
tfidf_for,0.0011175903491675854
tfidf_exam,0.0011001655366271734
tfidf_been,0.0010615972569212317
tfidf_pulmonary edema,0.0010573732433840632
tfidf_no evidence,0.0010478285839781165
tfidf_identified,0.0010422744089737535
tfidf_air cells,0.0010260440176352859
tfidf_vein,0.0010250488994643092
tfidf_by,0.0010161410318687558
tfidf_carotid,0.0010160518577322364
tfidf_left lower,0.000998448464088142
metas_min,0.0009794591460376978
tfidf_as,0.0009780528489500284
tfidf_on ___,0.0009777817176654935
tfidf_small,0.0009418128174729645
tfidf_in,0.0009086652426049113
tfidf_is no,0.0008992258226498961
tfidf_pleural effusion,0.0008681298932060599
tfidf_flow,0.0008335281745530665
tfidf_without,0.0008332132711075246
