feature,mean_abs_shap
gcs_last,0.7172961
map_measured_frac,0.3410583
gcs_verbal,0.29982385
gcs_eyes,0.21455091
sofa_cardio_last,0.20189269
sofa_cns_cum_max,0.19898042
map_last,0.14452167
sofa_resp_measured_frac,0.13518955
gcs_motor,0.13461608
gcs_measured_frac,0.13289453
temp_last,0.08761302
lactate_measured_frac,0.08006803
hr_last,0.07798019
gcs_cum_min,0.07202256
gcs_cum_std,0.062292997
sofa_cardio_measured_frac,0.058147226
chloride_max,0.058038283
urine_output_cum_min,0.057119533
bun_last,0.05488104
sofa_cns_cum_mean,0.054357007
vasopressor_dose_measured_frac,0.05152528
vasopressor_dose_last,0.051524088
gcs_cum_mean,0.051296342
sofa_cns_cum_std,0.050780248
urine_output_measured_frac,0.044637542
sofa_cns_last,0.043588202
urine_output_last,0.036993783
gcs_unable,0.035556633
lactate_cum_max,0.03254797
sofa2_cns_24h_max,0.031369768
ventilation_flag_cum_std,0.029480683
sofa_resp_cum_min,0.029113978
temp_measured_frac,0.028264875
creatinine_measured_frac,0.027817786
sofa_renal_measured_frac,0.027243633
vasopressor_dose_cum_max,0.026736625
wbc_measured_frac,0.026412861
rr_cum_mean,0.025915489
fluid_input_cum_std,0.024312567
bun_cum_max,0.023093287
lactate_cum_std,0.022956861
thrombin_max,0.022180945
rr_last,0.021294098
hr_measured_frac,0.021249957
vasopressor_dose_cum_std,0.020906257
sodium_cum_max,0.020599434
fluid_input_measured_frac,0.019015007
sodium_measured_frac,0.016958209
resp_rate_mean,0.016545707
resp_rate_max,0.016055513
sofa2_cardiovascular_24h_max,0.015230999
temperature_max,0.014228546
age,0.0138196265
bicarbonate_min,0.013361427
platelets_cum_std,0.013007145
lactate_last,0.012221841
po2_max,0.012137798
rr_measured_frac,0.01196235
creatinine_cum_min,0.0118973125
sofa_cardio_cum_std,0.011471373
potassium_max,0.011356763
hematocrit_max,0.010926779
hemoglobin_min,0.010753293
sodium_last,0.01058415
ventilation_flag_cum_mean,0.010515846
urine_output_cum_max,0.010348992
platelets_measured_frac,0.010294816
rr_cum_min,0.010109369
temperature_min,0.009955534
hr_cum_min,0.009889081
calcium_min,0.009595555
lactate_cum_min,0.009553667
albumin_min,0.00930843
mbp_min,0.008991189
hr_cum_mean,0.008617466
urine_output_cum_mean,0.008525025
sofa_renal_cum_mean,0.008505591
ventilation_flag_cum_max,0.008304163
sofa_resp_cum_mean,0.00829781
wbc_cum_std,0.008198078
sofa_renal_cum_max,0.0076291454
aniongap_max,0.0075481213
po2_min,0.007359172
alt_max,0.0072004455
sofa_cardio_cum_mean,0.0069471053
mbp_mean,0.0067774407
bun_cum_std,0.006698654
bicarbonate_max,0.0064615402
bilirubin_last,0.006303017
glucose_max,0.006174604
sofa_renal_cum_std,0.0060071927
thrombin_min,0.005963637
lactate_cum_mean,0.0058230287
creatinine_cum_std,0.0057491907
creatinine_last,0.005709327
ck_cpk_max,0.0055397884
heart_rate_max,0.0054589636
sofa2_respiration_24h_max,0.0054210234
calcium_max,0.005408146
ld_ldh_max,0.0052839834
vasopressor_dose_cum_min,0.0052775815
sodium_cum_std,0.0051817186
platelets_cum_mean,0.0051411814
hematocrit_min,0.0049436167
sbp_mean,0.004898507
vasopressor_dose_cum_mean,0.004792611
platelets_last,0.004596475
platelets_cum_min,0.0044712266
temperature_mean,0.004447043
glucose_min,0.0044249017
dbp_mean,0.004390169
sofa_renal_last,0.004376984
pt_max,0.0043447204
bilirubin_cum_std,0.0042009978
platelets_cum_max,0.0041667824
glucose_mean,0.004088427
chloride_min,0.004085126
gcs_cum_max,0.0040521948
temp_cum_min,0.0040057558
map_cum_min,0.0039906763
creatinine_cum_mean,0.003958722
urine_output_cum_std,0.0038703918
sbp_max,0.003730475
temp_cum_mean,0.0036287243
ventilation_flag_last,0.0035113685
fibrinogen_max,0.0033674075
heart_rate_mean,0.00329908
fluid_input_last,0.0032149737
ld_ldh_min,0.0031873174
map_cum_mean,0.003185511
ck_cpk_min,0.0031298073
dbp_min,0.0029721505
bun_cum_mean,0.0027685966
bilirubin_cum_mean,0.0027290883
sbp_min,0.0024163187
bilirubin_cum_max,0.0023654145
dbp_max,0.0021466757
creatinine_cum_max,0.0020634108
sofa_resp_cum_std,0.0020554983
sofa2_liver_24h_max,0.002026805
alt_min,0.002021199
fluid_input_cum_min,0.001989436
alp_min,0.0018335433
fluid_input_cum_max,0.0017982369
sofa2_renal_24h_max,0.0017577988
sofa_resp_last,0.0017458714
pt_min,0.0017097349
wbc_cum_max,0.0016982224
potassium_min,0.0016680378
sodium_cum_min,0.0016621399
aniongap_min,0.0015485061
heart_rate_min,0.0015303014
sofa_coag_cum_std,0.0015209367
