feature,mean_abs_shap
hr_last,0.09210681
urine_output_last,0.07383708
potassium_max,0.07339482
age,0.07191726
thrombin_max,0.06748849
bun_last,0.062259488
hematocrit_max,0.061149966
ventilation_flag_cum_mean,0.06090547
ld_ldh_max,0.059455283
gcs_cum_std,0.058939595
sodium_measured_frac,0.05888179
gcs_measured_frac,0.05887091
bun_cum_max,0.05742237
calcium_max,0.053671323
potassium_min,0.051888425
temp_cum_mean,0.051133357
sofa_cardio_measured_frac,0.050766457
ventilation_flag_cum_std,0.049433794
thrombin_min,0.0485579
urine_output_cum_mean,0.04522924
gcs_verbal,0.042103436
resp_rate_mean,0.038229816
urine_output_cum_std,0.033710916
rr_measured_frac,0.032465283
urine_output_measured_frac,0.03190861
creatinine_cum_std,0.031213427
platelets_cum_max,0.030340064
gcs_cum_mean,0.030015582
temperature_mean,0.029449968
sbp_mean,0.029284423
platelets_measured_frac,0.02873254
temp_measured_frac,0.028422978
urine_output_cum_min,0.027908217
rr_cum_mean,0.027829017
gcs_eyes,0.02778443
hr_cum_min,0.027558759
hemoglobin_min,0.027351012
rr_cum_min,0.026458276
heart_rate_mean,0.026421217
bilirubin_measured_frac,0.026380634
dbp_min,0.026174827
hr_cum_mean,0.025910757
urine_output_cum_max,0.02477711
aniongap_max,0.024706004
temperature_max,0.024064125
bilirubin_last,0.023936605
glucose_min,0.023920717
temp_last,0.023177754
heart_rate_min,0.023129897
lactate_cum_max,0.022955272
chloride_max,0.022760045
sofa_cns_cum_std,0.02215527
heart_rate_max,0.021944204
bicarbonate_min,0.021843828
rr_last,0.021366823
mbp_max,0.02107948
bilirubin_cum_mean,0.020474968
wbc_measured_frac,0.020432016
mbp_mean,0.020296203
fluid_input_measured_frac,0.019695532
sofa_cardio_cum_mean,0.018988105
ck_cpk_min,0.018894589
sodium_cum_max,0.018658191
creatinine_measured_frac,0.018609667
bun_cum_min,0.01830992
glucose_mean,0.018299896
fibrinogen_max,0.018264735
po2_max,0.018172981
pt_max,0.017982516
abs_monocytes_min,0.017924158
sofa_cardio_cum_std,0.017884579
abs_neutrophils_min,0.017806938
hematocrit_min,0.01751004
mbp_min,0.01737639
sodium_last,0.017338667
platelets_cum_mean,0.017063698
hr_measured_frac,0.016434114
bicarbonate_max,0.01598242
lactate_cum_mean,0.015354752
creatinine_cum_mean,0.015282295
dbp_mean,0.015162602
temperature_min,0.015038497
sofa_resp_measured_frac,0.0149758905
platelets_cum_std,0.014881838
map_cum_mean,0.014776211
sofa_renal_measured_frac,0.014647066
albumin_max,0.014509038
dbp_max,0.014459996
aniongap_min,0.014455142
lactate_measured_frac,0.0144364545
albumin_min,0.014168086
bilirubin_total_min,0.014092402
map_cum_min,0.0139463255
sbp_min,0.013804389
sodium_cum_mean,0.013783218
pt_min,0.013747453
platelets_cum_min,0.013553057
bun_cum_std,0.0131981205
alp_min,0.012936834
sodium_cum_std,0.012836489
chloride_min,0.01246098
sofa_cns_last,0.011876654
resp_rate_max,0.011767458
bilirubin_cum_max,0.011755564
resp_rate_min,0.011724825
sofa_resp_cum_std,0.011608249
map_last,0.0115545755
po2_min,0.0114958985
fluid_input_cum_min,0.011047154
sofa_cardio_last,0.010962149
vasopressor_dose_cum_mean,0.0109543735
fluid_input_last,0.010796592
bilirubin_total_max,0.010601408
creatinine_cum_max,0.010593588
lactate_cum_std,0.010429045
bands_min,0.010159447
sofa2_cns_24h_max,0.01015372
abs_lymphocytes_min,0.010097751
map_measured_frac,0.009826956
sofa_cns_cum_mean,0.009555707
platelets_last,0.009550414
glucose_max,0.009537945
sofa_renal_cum_std,0.009524143
ventilation_flag_cum_max,0.009396274
vasopressor_dose_cum_min,0.009319241
calcium_min,0.009277339
alt_max,0.00920573
bands_max,0.009184906
fluid_input_cum_max,0.009106161
wbc_last,0.008969018
sofa_renal_cum_mean,0.008903552
sbp_max,0.0088160485
lactate_cum_min,0.008778859
sodium_cum_min,0.008747628
vasopressor_dose_measured_frac,0.00848175
alt_min,0.008461617
lactate_last,0.00799241
vasopressor_dose_last,0.0072136726
abs_eosinophils_min,0.0071592587
sofa_resp_cum_mean,0.007128706
vasopressor_dose_cum_max,0.0068676923
bun_cum_mean,0.0068623465
creatinine_cum_min,0.0066296114
fibrinogen_min,0.0064547975
temp_cum_min,0.0061837723
ld_ldh_min,0.0058405483
ck_cpk_max,0.0057936786
sofa_coag_cum_std,0.005684981
creatinine_last,0.0056452807
bilirubin_cum_std,0.0054424484
fluid_input_cum_std,0.005190537
gcs_last,0.0048275786
sofa2_respiration_24h_max,0.0047823056
wbc_cum_mean,0.004731172
bilirubin_cum_min,0.004727037
gcs_cum_max,0.004552967
wbc_cum_max,0.0045060823
gcs_cum_min,0.003483675
abs_lymphocytes_max,0.0032876662
gcs_unable,0.003112695
wbc_cum_min,0.0030834011
abs_monocytes_max,0.0029849205
sofa_resp_cum_min,0.0029273883
sofa_liver_cum_mean,0.0029225436
amylase_min,0.0028516562
vasopressor_dose_cum_std,0.0028240627
sofa_renal_cum_max,0.0026186681
sofa_resp_cum_max,0.002521842
sofa2_renal_24h_max,0.0023736479
fluid_input_cum_mean,0.0015945914
sofa_renal_cum_min,0.0015025702
gcs_motor,0.001418038
imm_granulocytes_min,0.0012618189
amylase_max,0.0011801291
sofa_coag_cum_mean,0.0011786212
sofa2_coagulation_24h_max,0.0011583813
wbc_cum_std,0.0010394009
sofa_coag_last,0.00089654856
metas_max,0.0008908339
sofa_cardio_cum_max,0.0008561232
sofa_liver_cum_std,0.00056860875
sofa_renal_last,0.00050298753
atyps_max,0.00040489805
sofa_cns_cum_max,0.00038878858
abs_basophils_min,0.00037114284
abs_basophils_max,0.0003635392
sofa_cns_cum_min,0.00022322203
sofa_resp_last,0.00020198067
sofa2_liver_24h_max,0.00014775229
sofa_cardio_cum_min,0.0
spo2_measured_frac,0.0
sofa_liver_cum_min,0.0
inr_measured_frac,0.0
sofa_coag_cum_min,0.0
ventilation_flag_measured_frac,0.0
inr_cum_std,0.0
sofa2_cardiovascular_24h_max,0.0
ventilation_flag_last,0.0
metas_min,0.0
ventilation_flag_cum_min,0.0
spo2_cum_std,0.0
sofa_coag_cum_max,0.0
atyps_min,0.0
